index,time,dive-temperature,dive-depth,dive-speed
925,2025-12-12 09:53:39.842753+00:00,23.92,29.815,0.10666666666666676
925,2025-12-12 09:53:39.842753+00:00,23.91,29.697,-0.03933333333333403
926,2025-12-12 09:54:00.540306+00:00,23.89,29.741999999999997,0.014999999999999384
926,2025-12-12 09:54:00.540306+00:00,23.97,27.842,-0.6333333333333329
926,2025-12-12 09:54:00.540306+00:00,23.99,34.238,2.132
926,2025-12-12 09:54:00.540306+00:00,24.05,39.466,1.7426666666666673
927,2025-12-12 09:54:21.229057+00:00,24.15,39.394,-0.02400000000000091
927,2025-12-12 09:54:21.229057+00:00,24.18,39.368,-0.008666666666665416
927,2025-12-12 09:54:21.229057+00:00,24.15,39.55,0.060666666666665016
927,2025-12-12 09:54:21.229057+00:00,24.09,39.141999999999996,-0.13600000000000043
929,2025-12-12 09:54:42.229685+00:00,24.09,39.617,0.1583333333333338
929,2025-12-12 09:54:42.229685+00:00,23.86,39.626000000000005,0.003000000000002482
929,2025-12-12 09:54:42.229685+00:00,23.88,39.37,-0.08533333333333577
929,2025-12-12 09:54:42.229685+00:00,23.9,39.248999999999995,-0.040333333333334075
930,2025-12-12 09:55:02.881018+00:00,23.95,39.601000000000006,0.117333333333337
930,2025-12-12 09:55:02.881018+00:00,24.32,39.292,-0.10300000000000153
930,2025-12-12 09:55:02.881018+00:00,24.38,39.437,0.04833333333333201
930,2025-12-12 09:55:02.881018+00:00,24.19,39.27,-0.05566666666666483
931,2025-12-12 09:55:23.589111+00:00,23.8,39.309,0.012999999999998124
931,2025-12-12 09:55:23.589111+00:00,23.93,39.067,-0.08066666666666578
931,2025-12-12 09:55:23.589111+00:00,24.18,38.986999999999995,-0.026666666666668466
931,2025-12-12 09:55:23.589111+00:00,24.29,39.048,0.020333333333335684
932,2025-12-12 09:55:44.093332+00:00,24.28,39.173,0.041666666666666664
932,2025-12-12 09:55:44.093332+00:00,24.16,38.961999999999996,-0.0703333333333352
932,2025-12-12 09:55:44.093332+00:00,24.18,38.997,0.011666666666667899
932,2025-12-12 09:55:44.093332+00:00,24.27,38.992,-0.0016666666666675194
933,2025-12-12 09:56:04.783059+00:00,24.27,38.882,-0.03666666666666648
933,2025-12-12 09:56:04.783059+00:00,24.24,38.781000000000006,-0.03366666666666399
933,2025-12-12 09:56:04.783059+00:00,24.35,49.928000000000004,3.715666666666666
933,2025-12-12 09:56:04.783059+00:00,24.3,40.248999999999995,-3.2263333333333364
934,2025-12-12 09:56:25.478988+00:00,24.33,40.089,-0.0533333333333322
934,2025-12-12 09:56:25.478988+00:00,24.4,39.552,-0.1789999999999997
934,2025-12-12 09:56:25.478988+00:00,24.54,38.806999999999995,-0.24833333333333485
934,2025-12-12 09:56:25.478988+00:00,24.98,38.778,-0.009666666666665455
935,2025-12-12 09:56:45.974457+00:00,24.54,39.218999999999994,0.14699999999999847
935,2025-12-12 09:56:45.974457+00:00,24.5,39.211000000000006,-0.0026666666666628203
935,2025-12-12 09:56:45.974457+00:00,24.52,39.203,-0.0026666666666675574
